indicator,iso3,year,value,source,downloaded_at,is_estimate,n_countries
AG.LND.FRST.ZS,ARG,2010,10.9,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,ARG,2011,10.9,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,ARG,2012,10.8,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,ARG,2013,10.8,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,ARG,2014,10.7,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,ARG,2015,10.7,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,ARG,2016,10.6,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,ARG,2017,10.6,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,ARG,2018,10.6,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,ARG,2019,10.5,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,ARG,2020,10.5,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,ARG,2021,10.4,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,ARG,2022,10.4,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,ARG,2023,10.3,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,ARG,2024,10.3,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BOL,2010,52.8,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BOL,2011,52.6,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BOL,2012,52.4,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BOL,2013,52.1,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BOL,2014,51.9,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BOL,2015,51.7,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BOL,2016,51.5,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BOL,2017,51.3,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BOL,2018,51.2,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BOL,2019,51.0,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BOL,2020,50.8,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BOL,2021,50.6,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BOL,2022,50.3,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BOL,2023,50.1,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BOL,2024,49.9,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BRA,2010,61.2,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BRA,2011,61.1,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BRA,2012,60.9,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BRA,2013,60.7,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BRA,2014,60.6,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BRA,2015,60.4,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BRA,2016,60.3,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BRA,2017,60.1,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BRA,2018,60.0,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BRA,2019,59.8,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BRA,2020,59.7,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BRA,2021,59.6,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BRA,2022,59.4,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BRA,2023,59.3,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,BRA,2024,59.1,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,CHL,2010,22.9,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,CHL,2011,23.0,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,CHL,2012,23.1,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,CHL,2013,23.3,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,CHL,2014,23.4,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,CHL,2015,23.5,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,CHL,2016,23.7,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,CHL,2017,23.8,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,CHL,2018,23.9,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,CHL,2019,24.0,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,CHL,2020,24.1,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,CHL,2021,24.2,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,CHL,2022,24.3,World Bank API v2,2026-09-24T17:30:00Z,False,
AG.LND.FRST.ZS,CHL,2023,24.4,World Bank API v2,2026-09-24T17:30:00Z,False,
